cycle,stream_len,original_len,patterns_count,compression_ratio,patterns_created,patterns_collapsed,familiarity,mode
1,103,250,783,0.5880,0,147,0.0000,explore
2,320,750,783,0.5733,0,283,0.5880,explore
3,516,1250,783,0.5872,0,304,0.5733,explore
4,695,1750,785,0.6029,2,321,0.5872,explore
5,906,2250,786,0.5973,1,289,0.6029,explore
6,1082,2750,790,0.6065,4,324,0.5973,explore
7,1264,3250,793,0.6111,3,318,0.6072,explore
8,1451,3750,797,0.6131,4,313,0.6190,explore
9,1659,4250,798,0.6096,1,292,0.6148,explore
10,1874,4750,729,0.6055,10,285,0.5918,explore
11,2031,5250,735,0.6131,6,343,0.5857,explore
12,2207,5750,736,0.6162,1,324,0.5928,explore
13,2412,6250,738,0.6141,2,295,0.5933,explore
14,2598,6750,742,0.6151,4,314,0.5966,explore
15,2783,7250,746,0.6161,4,315,0.6027,explore
16,2968,7750,746,0.6170,0,315,0.6124,explore
17,3104,8192,749,0.6211,3,306,0.6127,explore
18,3305,8692,750,0.6198,1,299,0.6157,explore
19,3470,9192,753,0.6225,3,335,0.6030,explore
20,3657,9692,756,0.6227,3,313,0.6186,explore
21,3827,10192,759,0.6245,3,330,0.6176,explore
22,3953,10692,767,0.6303,8,374,0.6182,explore
23,4115,11192,771,0.6323,4,338,0.6235,explore
24,4279,11692,774,0.6340,3,336,0.6270,explore
25,4462,12192,777,0.6340,3,317,0.6284,explore
26,4610,12692,780,0.6368,3,352,0.6302,explore
27,4776,13192,783,0.6380,3,334,0.6416,explore
28,5028,13692,787,0.6328,4,248,0.6405,explore
29,5243,14192,790,0.6306,3,285,0.6107,explore
30,5454,14692,791,0.6288,1,289,0.5908,explore
31,5562,15192,799,0.6339,8,392,0.5732,explore
32,5714,15692,735,0.6359,15,356,0.5992,explore
33,5862,16192,739,0.6380,4,352,0.6014,explore
34,5865,16384,748,0.6420,9,189,0.6209,explore
35,6036,16884,751,0.6425,3,329,0.6317,explore
36,6239,17384,752,0.6411,1,297,0.6366,explore
37,6410,17884,753,0.6416,1,329,0.6311,explore
38,6581,18384,753,0.6420,0,329,0.6269,explore
39,6769,18884,757,0.6415,4,312,0.6387,explore
40,6934,19384,761,0.6423,4,335,0.6209,explore
41,7097,19884,766,0.6431,5,337,0.6252,explore
42,7253,20384,771,0.6442,5,344,0.6305,explore
43,7468,20884,772,0.6424,1,285,0.6264,explore
44,7648,21384,778,0.6423,6,320,0.6066,explore
45,7813,21884,784,0.6430,6,335,0.5992,explore
46,8011,22384,786,0.6421,2,302,0.5871,explore
47,8199,22884,787,0.6417,1,312,0.5823,explore
48,8377,23384,790,0.6418,3,322,0.5880,explore
49,8561,23884,793,0.6416,3,316,0.5903,explore
50,8731,24384,797,0.6419,4,330,0.5981,explore
51,8729,24576,806,0.6448,9,194,0.6057,explore
52,8909,25052,740,0.6444,14,349,0.6170,explore
53,9105,25552,741,0.6437,1,304,0.6154,explore
54,9302,26052,742,0.6429,1,303,0.6163,explore
55,9459,26552,748,0.6438,6,343,0.6152,explore
56,9630,27052,753,0.6440,5,329,0.6188,explore
57,9766,27552,756,0.6455,3,364,0.6124,explore
58,9944,28052,760,0.6455,4,322,0.6221,explore
59,10102,28552,764,0.6462,4,342,0.6259,explore
60,10253,29052,767,0.6471,3,349,0.6329,explore
61,10413,29552,773,0.6476,6,340,0.6407,explore
62,10590,30052,778,0.6476,5,323,0.6392,explore
63,10739,30552,780,0.6485,2,351,0.6172,explore
64,10924,31052,782,0.6482,2,315,0.6313,explore
65,11081,31552,788,0.6488,6,343,0.6281,explore
66,11232,32052,793,0.6496,5,349,0.6071,explore
67,11398,32552,798,0.6499,5,334,0.6174,explore
68,11604,32718,736,0.6453,17,235,0.6255,explore
69,11755,33218,740,0.6461,4,349,0.6250,explore
70,11880,33718,747,0.6477,7,375,0.6231,explore
71,12016,34218,751,0.6488,4,364,0.6427,explore
72,12215,34718,751,0.6482,0,301,0.6511,explore
73,12341,35218,758,0.6496,7,374,0.6377,explore
74,12480,35718,764,0.6506,6,361,0.6453,explore
75,12652,36218,769,0.6507,5,328,0.6516,explore
76,12813,36718,776,0.6510,7,339,0.6352,explore
77,12984,37218,780,0.6511,4,329,0.6211,explore
78,13159,37718,781,0.6511,1,325,0.6238,explore
79,13309,38218,787,0.6518,6,350,0.6188,explore
80,13477,38718,790,0.6519,3,332,0.6143,explore
81,13626,39218,795,0.6526,5,351,0.6231,explore
82,13761,39718,801,0.6535,6,365,0.6292,explore
83,14212,39666,739,0.6417,18,515,0.6352,explore
84,14325,40166,745,0.6434,6,387,0.6390,explore
85,14303,40358,755,0.6456,10,214,0.6405,explore
86,14442,40858,759,0.6465,4,361,0.6389,explore
87,14592,41358,764,0.6472,5,350,0.6535,explore
88,14697,41858,770,0.6489,6,395,0.6591,explore
89,14846,42358,773,0.6495,3,351,0.6739,explore
90,14983,42858,778,0.6504,5,363,0.6759,explore
91,15099,43358,783,0.6518,5,384,0.6730,explore
92,15229,43858,789,0.6528,6,370,0.6768,explore
93,15377,44358,795,0.6533,6,352,0.6664,explore
94,15518,44858,801,0.6541,6,359,0.6684,explore
95,16090,44966,737,0.6422,16,491,0.6577,explore
96,16225,45466,743,0.6431,6,365,0.6426,explore
97,16342,45966,750,0.6445,7,383,0.6352,explore
98,16524,46466,752,0.6444,2,318,0.6328,explore
99,16684,46966,759,0.6448,7,340,0.6226,explore
100,16841,47466,764,0.6452,5,343,0.6199,explore
101,17001,47966,770,0.6456,6,340,0.6071,explore
102,16988,48158,780,0.6472,10,205,0.6036,explore
103,17135,48658,784,0.6478,4,353,0.6046,explore
104,17236,49158,791,0.6494,7,399,0.6040,explore
105,17346,49658,799,0.6507,8,390,0.6206,explore
106,17949,49409,739,0.6367,19,503,0.6360,explore
107,18094,49909,744,0.6375,5,355,0.6357,explore
108,18258,50409,751,0.6378,7,336,0.6360,explore
109,18395,50909,757,0.6387,6,363,0.6155,explore
110,18527,51409,763,0.6396,6,368,0.6047,explore
111,18668,51909,767,0.6404,4,359,0.6033,explore
112,18807,52409,774,0.6411,7,361,0.6006,explore
113,18916,52909,783,0.6425,9,391,0.6049,explore
114,19059,53409,789,0.6432,6,357,0.6183,explore
115,19195,53909,794,0.6439,5,364,0.6208,explore
116,19366,54409,798,0.6441,4,329,0.6234,explore
117,19999,53963,737,0.6294,18,518,0.6189,explore
118,20060,54463,745,0.6317,8,439,0.6155,explore
119,20049,54655,754,0.6332,9,203,0.6246,explore
120,20200,55155,760,0.6338,6,349,0.6274,explore
121,20296,55655,767,0.6353,7,404,0.6278,explore
122,20404,56155,774,0.6366,7,392,0.6360,explore
123,20551,56655,782,0.6373,8,353,0.6471,explore
124,20678,57155,791,0.6382,9,373,0.6404,explore
125,20814,57655,797,0.6390,6,364,0.6328,explore
126,20942,58155,804,0.6399,7,372,0.6385,explore
127,21709,58203,743,0.6270,19,549,0.6372,explore
128,21792,58703,751,0.6288,8,417,0.6226,explore
129,21886,59203,761,0.6303,10,406,0.6133,explore
130,21985,59703,769,0.6318,8,401,0.6095,explore
131,22076,60203,779,0.6333,10,409,0.6325,explore
132,22177,60703,786,0.6347,7,399,0.6497,explore
133,22252,61203,794,0.6364,8,425,0.6579,explore
134,22325,61703,803,0.6382,9,427,0.6626,explore
135,22980,61709,742,0.6276,19,613,0.6634,explore
136,22884,61901,752,0.6303,10,288,0.6694,explore
137,23000,62401,758,0.6314,6,384,0.6683,explore
138,23075,62901,766,0.6332,8,425,0.6700,explore
139,23161,63401,772,0.6347,6,414,0.6704,explore
140,23263,63901,781,0.6360,9,398,0.6797,explore
141,23334,64401,789,0.6377,8,429,0.6819,explore
142,23477,64901,796,0.6383,7,357,0.6844,explore
143,23600,65401,804,0.6391,8,377,0.6617,explore
144,24370,65171,743,0.6261,19,533,0.6505,explore
145,24423,65671,752,0.6281,9,447,0.6206,explore
146,24520,66171,761,0.6294,9,403,0.6174,explore
147,24634,66671,768,0.6305,7,386,0.5917,explore
148,24723,67171,776,0.6319,8,411,0.6022,explore
149,24841,67671,784,0.6329,8,382,0.6188,explore
150,24961,68171,792,0.6338,8,380,0.6296,explore
